,payment_value_boleto,payment_value_credit_card,payment_value_debit_card,payment_value_voucher,order_id,order_sequential,price,payment_installments,review_score,seller_id_094ced053e257ae8cae57205592d6712,seller_id_0bae85eb84b9fb3bd773911e89288d54,seller_id_1025f0e2d44d7041d6cf58b6550e0bfa,seller_id_16090f2ca825584b5a147ab24aa30c86,seller_id_1900267e848ceeba8fa32d80c1a5f5a8,seller_id_289cdb325fb7e7f891c38608bf9e0962,seller_id_2a84855fd20af891be03bc5924d2b453,seller_id_2c9e548be18521d1c43cde1c582c6de8,seller_id_33cbbec1e7e1044aaf11d152172c776f,seller_id_3504c0cb71d7fa48d967e0e4c94d59d9,seller_id_391fc6631aebcf3004804e51b40bcf1e,seller_id_4869f7a5dfa277a7dca6462dcf3b52b2,seller_id_537eb890efff034a88679788b647c564,seller_id_55c26bcb609f480eb7868594245febb5,seller_id_5656537e588803a555b8eb41f07a944b,seller_id_5b925e1d006e9476d738aa200751b73b,seller_id_5dceca129747e92ff8ef7a997dc4f8ca,seller_id_633ecdf879b94b5337cca303328e4a25,seller_id_63b9ae557efed31d1f7687917d248a8d,seller_id_6560211a19b47992c3666cc44a7e94c0,seller_id_66922902710d126a0e7d26b0e3805106,seller_id_669ae81880e08f269a64487cfb287169,seller_id_6860153b69cc696d5dcfe1cdaaafcf62,seller_id_70125af26c2d6d4ef401a1d02ae7701f,seller_id_70a12e78e608ac31179aea7f8422044b,seller_id_744dac408745240a2c2528fb1b6028f3,seller_id_76d64c4aca3a7baf218bf93ef7fa768d,seller_id_77530e9772f57a62c906e1c21538ab82,seller_id_7c67e1448b00f6e969d365cea6b010ab,seller_id_7d13fca15225358621be4086e1eb0964,seller_id_80e6699fe29150b372a0c8a1ebf7dcc8,seller_id_817245bcc3badd82bbd222e0366951a6,seller_id_855668e0971d4dfd7bef1b6a4133b41b,seller_id_8581055ce74af1daba164fdbd55a40de,seller_id_85d9eb9ddc5d00ca9336a2219c97bb13,seller_id_87142160b41353c4e5fca2360caf6f92,seller_id_89a51f50b8095ea78d5768f34c13a76f,seller_id_8b321bb669392f5163d04c59e235e066,seller_id_955fee9216a65b617aa5c0531780ce60,seller_id_977f9f63dd360c2a32ece2f93ad6d306,seller_id_980640c45d7a4635885491d077167e4d,seller_id_a1043bafd471dff536d0c462352beb48,seller_id_a3a38f4affed601eb87a97788c949667,seller_id_a5cba26a62b8b4d0145b68b841e62e7f,seller_id_a673821011d0cec28146ea42f5ab767f,seller_id_b33e7c55446eabf8fe1a42d037ac7d6d,seller_id_ba5daa4041e1f15cdf34b76e3e18a450,seller_id_c0563dd588b775f2e37747ef6ad6c92c,seller_id_c4af86330efa7a2620772227d2d670c9,seller_id_c8417879a15366a17c30af34c798c332,seller_id_cc419e0650a3c5ba77189a1882b7556a,seller_id_d1ef48b38baca7e831711c4a0aeb398f,seller_id_d2374cbcbb3ca4ab1086534108cc3ab7,seller_id_d3f39f05462b79a4562d35893a28f159,seller_id_d673a59aac7a70d8b01e6902bf090a11,seller_id_d91fb3b7d041e83b64a00a3edfb37e4f,seller_id_db4350fd57ae30082dec7acbaacc17f9,seller_id_dc8798cbf453b7e0f98745e396cc5616,seller_id_e9779976487b77c6d4ac45f75ec7afe9,seller_id_ea8482cd71df3c1969d7b9473ff13abc,seller_id_ef0ace09169ac090589d85746e3e036f,seller_id_f27e33c6d29b5138fa9967bcd445b6d5,seller_id_f52c2422904463fdd7741f99045fecb6,seller_id_f5f46307a4d15880ca14fab4ad9dfc9b,seller_id_f7720c4fa8e3aba4546301ab80ea1f1b,seller_id_f7ba60f8c3f99e7ee4042fdef03b70c4,seller_id_f84a00e60c73a49e7e851c9bdca3a5bb,seller_id_f8db351d8c4c4c22c6835c19a46f01b0,seller_id_fcdd820084f17e9982427971e4e9d47f,seller_id_fe2032dab1a61af8794248c8196565c9,product_category_name_automotivo,product_category_name_bebes,product_category_name_beleza_saude,product_category_name_brinquedos,product_category_name_cama_mesa_banho,product_category_name_climatizacao,product_category_name_construcao_ferramentas_construcao,product_category_name_cool_stuff,product_category_name_eletronicos,product_category_name_eletroportateis,product_category_name_esporte_lazer,product_category_name_ferramentas_jardim,product_category_name_informatica_acessorios,product_category_name_livros_interesse_geral,product_category_name_malas_acessorios,product_category_name_moveis_decoracao,product_category_name_moveis_escritorio,product_category_name_papelaria,product_category_name_perfumaria,product_category_name_pet_shop,product_category_name_relogios_presentes,product_category_name_telefonia,product_category_name_utilidades_domesticas,customer_city_aracaju,customer_city_barreiras,customer_city_blumenau,customer_city_boa_vista,customer_city_bom_jardim_de_minas,customer_city_boninal,customer_city_brasilia,customer_city_campinas,customer_city_carapicuiba,customer_city_cascavel,customer_city_congonhinhas,customer_city_cosmopolis,customer_city_cruz_das_almas,customer_city_cuiaba,customer_city_duque_de_caxias,customer_city_faxinalzinho,customer_city_feira_de_santana,customer_city_flores_da_cunha,customer_city_goiania,customer_city_hortolandia,customer_city_ibiapina,customer_city_imbituba,customer_city_jaboatao_dos_guararapes,customer_city_joinville,customer_city_juiz_de_fora,customer_city_jundiai,customer_city_luis_eduardo_magalhaes,customer_city_mesquita,customer_city_nilopolis,customer_city_ouro_preto,customer_city_palmares,customer_city_paracambi,customer_city_paranavai,customer_city_paulinia,customer_city_portao,customer_city_porto_alegre,customer_city_presidente_venceslau,customer_city_quata,customer_city_ribeirao_preto,customer_city_rio_de_janeiro,customer_city_salvador,customer_city_santa_barbara_d'oeste,customer_city_santa_rosa,customer_city_santo_andre,customer_city_sao_carlos,customer_city_sao_goncalo_do_amarante,customer_city_sao_jose_dos_campos,customer_city_sao_paulo,customer_city_sorocaba,customer_city_taubate,customer_city_uberaba,customer_city_uberlandia,customer_city_vianopolis,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,hour_1,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,purch_to_rev
0,0.0,43.09,0.0,0.0,116f0b09343b49556bbad5f35bee0cdf,1.0,27.99,4.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-14.0
1,0.0,65.95,0.0,0.0,136cce7faa42fdb2cefd53fdc79a6098,1.0,49.9,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-32.0
2,52.84,0.0,0.0,0.0,138849fd84dff2fb4ca70a0a34c4aa1c,1.0,39.47,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-14.0
3,0.0,224.9,0.0,0.0,1790eea0b567cf50911c057cf20f90f9,1.0,186.9,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-20.0
4,0.0,154.19,0.0,0.0,1e7aff52cdbb2451ace09d0f848c3699,1.0,119.99,4.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-13.0
5,118.86,0.0,0.0,0.0,203096f03d82e0dffbc41ebc2e2bcfb7,1.0,109.9,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-13.0
6,0.0,82.33,0.0,0.0,25f4376934e13d3508486352e11a5db0,1.0,69.9,5.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-5.0
7,0.0,17.28,0.0,0.0,2807d0e504d6d4894d41672727bc139f,1.0,9.5,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-6.0
8,130.56,0.0,0.0,0.0,2ce1ad82022c1ba30c2079502ac725aa,1.0,115.0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8.0
9,141.15,0.0,0.0,0.0,2edfd6d1f0b4cd0db4bf37b1b224d855,1.0,113.0,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-9.0
